id;name;country;lon;lat;description;picture
Q1371;West Virginia;;-80.5;39;Capital: Charleston;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Seal_of_West_Virginia.svg/300px-Seal_of_West_Virginia.svg.png
Q173;Alabama;;-86.7;32.7;Capital: Montgomery;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Seal_of_Alabama.svg/300px-Seal_of_Alabama.svg.png
Q797;Alaska;;-150;64;Capital: Juneau;https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/State_Seal_of_Alaska.svg/300px-State_Seal_of_Alaska.svg.png
