id;name;country;lon;lat;description;picture
Q1454;North Carolina;Q30;-80;35.5;🏛 Raleigh;https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Seal_of_North_Carolina.svg/300px-Seal_of_North_Carolina.svg.png
Q1207;North Dakota;Q30;-100.5;47.5;🏛 Bismarck;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/NorthDakota-StateSeal.svg/300px-NorthDakota-StateSeal.svg.png
Q1397;Ohio;Q30;-82.5;40.5;🏛 Columbus;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Seal_of_Ohio_%28Official%29.svg/300px-Seal_of_Ohio_%28Official%29.svg.png
Q1649;Oklahoma;Q30;-98;35.5;🏛 Oklahoma City;https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Seal_of_Oklahoma.svg/300px-Seal_of_Oklahoma.svg.png
Q824;Oregon;Q30;-120.575;43.935833;🏛 Salem;https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Seal_of_Oregon.svg/300px-Seal_of_Oregon.svg.png
Q1400;Pennsylvania;Q30;-77.5;41;🏛 Harrisburg;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Seal_of_Pennsylvania.svg/300px-Seal_of_Pennsylvania.svg.png
Q1387;Rhode Island;Q30;-71.5;41.7;🏛 Providence;https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Seal_of_Rhode_Island.svg/300px-Seal_of_Rhode_Island.svg.png
Q1456;South Carolina;Q30;-81;34;🏛 Columbia;https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Seal_of_South_Carolina.svg/300px-Seal_of_South_Carolina.svg.png
Q1211;South Dakota;Q30;-100;44.5;🏛 Pierre;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/SouthDakota-StateSeal.svg/300px-SouthDakota-StateSeal.svg.png
Q1509;Tennessee;Q30;-86;36;🏛 Nashville;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Seal_of_Tennessee.svg/300px-Seal_of_Tennessee.svg.png
Q1439;Texas;Q30;-100;31;🏛 Austin;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Seal_of_Texas.svg/300px-Seal_of_Texas.svg.png
Q829;Utah;Q30;-111.5;39.5;🏛 Salt Lake City;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Seal_of_Utah.svg/300px-Seal_of_Utah.svg.png
Q16551;Vermont;Q30;-72.7;44;🏛 Montpelier;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Vermont_state_seal.svg/300px-Vermont_state_seal.svg.png
Q1370;Virginia;Q30;-79;37.5;🏛 Richmond;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seal_of_Virginia.svg/300px-Seal_of_Virginia.svg.png
Q1223;Washington;Q30;-120.5;47.5;🏛 Olympia;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Seal_of_Washington.svg/300px-Seal_of_Washington.svg.png
Q1371;West Virginia;Q30;-80.5;39;🏛 Charleston;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Seal_of_West_Virginia.svg/300px-Seal_of_West_Virginia.svg.png
Q1537;Wisconsin;Q30;-89.5;44.5;🏛 Madison;https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Seal_of_Wisconsin.svg/300px-Seal_of_Wisconsin.svg.png
Q1214;Wyoming;Q30;-107.5;43;🏛 Cheyenne;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Seal_of_Wyoming.svg/300px-Seal_of_Wyoming.svg.png
Q61;Washington, D.C.;Q30;-77.036666666667;38.895;🏛 ;https://upload.wikimedia.org/wikipedia/commons/4/42/Seal-DC.png
